GEOID,NAME,AcreArea
54,West Virginia,15386313.72
12,Florida,34338136.34
17,Illinois,35528401.54
27,Minnesota,50961113.32
24,Maryland,6215183.059
44,Rhode Island,661688.7148
16,Idaho,52892808.34
33,New Hampshire,5730393.419
37,North Carolina,31118754.95
50,Vermont,5899031.401
9,Connecticut,3099114.424
10,Delaware,1247072.602
35,New Mexico,77640035.4
6,California,99749309.47
34,New Jersey,4707082.445
55,Wisconsin,34666934.14
41,Oregon,61437324.36
31,Nebraska,49163364.8
42,Pennsylvania,28634968.45
53,Washington,42531456.49
22,Louisiana,27654819.87
13,Georgia,36938892.32
1,Alabama,32414116.43
49,Utah,52721105.26
39,Ohio,26149553.87
48,Texas,167211394.5
8,Colorado,66327626.69
45,South Carolina,19241127.54
40,Oklahoma,43901700.8
47,Tennessee,26388826.76
56,Wyoming,62136705.1
38,North Dakota,44156257.66
21,Kentucky,25274641.91
23,Maine,19740789.32
36,New York,30158953.37
32,Nevada,70310587.1
26,Michigan,36229284.04
5,Arkansas,33275349
28,Mississippi,30031643.1
29,Missouri,43997621.92
30,Montana,93152093.34
20,Kansas,52325402.4
18,Indiana,22928715.68
46,South Dakota,48517316.97
25,Massachusetts,4992605.847
51,Virginia,25268515.02
11,District of Columbia,39120.70582
19,Iowa,35746140.36
4,Arizona,72738809.56
