Year,State,Value
2021,ARIZONA,"275,000"
2021,ARKANSAS,"3,000"
2021,CALIFORNIA,"580,000"
2021,COLORADO,"730,000"
2021,CONNECTICUT,"5,000"
2021,DELAWARE,"3,000"
2021,IDAHO,"1,010,000"
2021,ILLINOIS,"180,000"
2021,INDIANA,"250,000"
2021,IOWA,"790,000"
2021,KANSAS,"590,000"
2021,KENTUCKY,"135,000"
2021,MAINE,"9,000"
2021,MARYLAND,"34,000"
2021,MASSACHUSETTS,"6,000"
2021,MICHIGAN,"560,000"
2021,MINNESOTA,"750,000"
2021,MISSOURI,"220,000"
2021,MONTANA,"1,850,000"
2021,NEBRASKA,"960,000"
2021,NEVADA,"260,000"
2021,NEW HAMPSHIRE,"5,000"
2021,NEW JERSEY,"15,000"
2021,NEW MEXICO,"135,000"
2021,NEW YORK,"280,000"
2021,NORTH CAROLINA,"8,000"
2021,NORTH DAKOTA,"1,250,000"
2021,OHIO,"300,000"
2021,OKLAHOMA,"160,000"
2021,OREGON,"380,000"
2021,OTHER STATES,"140,000"
2021,PENNSYLVANIA,"350,000"
2021,RHODE ISLAND,"1,000"
2021,SOUTH DAKOTA,"1,600,000"
2021,TENNESSEE,"21,000"
2021,TEXAS,"140,000"
2021,UTAH,"490,000"
2021,VERMONT,"15,000"
2021,VIRGINIA,"38,000"
2021,WASHINGTON,"420,000"
2021,WEST VIRGINIA,"15,000"
2021,WISCONSIN,"850,000"
2021,WYOMING,"450,000"
2020,ARIZONA,"260,000"
2020,ARKANSAS,"3,000"
2020,CALIFORNIA,"475,000"
2020,COLORADO,"700,000"
2020,CONNECTICUT,"6,000"
2020,DELAWARE,"4,000"
2020,IDAHO,"1,010,000"
2020,ILLINOIS,"220,000"
2020,INDIANA,"220,000"
2020,IOWA,"830,000"
2020,KANSAS,"540,000"
2020,KENTUCKY,"145,000"
2020,MAINE,"9,000"
2020,MARYLAND,"35,000"
2020,MASSACHUSETTS,"5,000"
2020,MICHIGAN,"550,000"
2020,MINNESOTA,"740,000"
2020,MISSOURI,"220,000"
2020,MONTANA,"1,900,000"
2020,NEBRASKA,"860,000"
2020,NEVADA,"175,000"
2020,NEW HAMPSHIRE,"5,000"
2020,NEW JERSEY,"16,000"
2020,NEW MEXICO,"130,000"
2020,NEW YORK,"300,000"
2020,NORTH CAROLINA,"5,000"
2020,NORTH DAKOTA,"1,220,000"
2020,OHIO,"300,000"
2020,OKLAHOMA,"190,000"
2020,OREGON,"360,000"
2020,OTHER STATES,0
2020,PENNSYLVANIA,"395,000"
2020,RHODE ISLAND,"1,000"
2020,SOUTH DAKOTA,"1,800,000"
2020,TENNESSEE,"19,000"
2020,TEXAS,"110,000"
2020,UTAH,"550,000"
