Year,State,CanolaAcres
2021,KANSAS,7000
2021,MINNESOTA,63000
2021,MONTANA,185000
2021,NORTH DAKOTA,1750000
2021,OKLAHOMA,12000
2021,WASHINGTON,135000
2020,KANSAS,5000
2020,MINNESOTA,50000
2020,MONTANA,155000
2020,NORTH DAKOTA,1510000
2020,OKLAHOMA,11000
2020,WASHINGTON,93000
2019,KANSAS,29000
2019,MINNESOTA,51000
2019,MONTANA,150000
2019,NORTH DAKOTA,1700000
2019,OKLAHOMA,35000
2019,OTHER STATES,0
2019,WASHINGTON,75000
2018,IDAHO,43000
2018,KANSAS,47000
2018,MINNESOTA,46000
2018,MONTANA,120000
2018,NORTH DAKOTA,1590000
2018,OKLAHOMA,70000
2018,OREGON,4700
2018,OTHER STATES,0
2018,WASHINGTON,70000
2017,IDAHO,23000
2017,KANSAS,50000
2017,MINNESOTA,36000
2017,MONTANA,155000
2017,NORTH DAKOTA,1590000
2017,OKLAHOMA,160000
2017,OREGON,8000
2017,OTHER STATES,0
2017,WASHINGTON,55000
2016,IDAHO,21000
2016,KANSAS,25000
2016,MINNESOTA,29000
2016,MONTANA,62000
2016,NORTH DAKOTA,1460000
2016,OKLAHOMA,75000
2016,OREGON,4000
2016,OTHER STATES,0
2016,WASHINGTON,33000
2015,IDAHO,28000
2015,MINNESOTA,23000
2015,MONTANA,82000
2015,NORTH DAKOTA,1410000
2015,OKLAHOMA,140000
2015,OREGON,4300
2015,OTHER STATES,52700
2015,WASHINGTON,37000
2014,IDAHO,35000
2014,MINNESOTA,15000
2014,MONTANA,63000
2014,NORTH DAKOTA,1200000
2014,OKLAHOMA,270000
2014,OREGON,11000
2014,OTHER STATES,70000
2014,WASHINGTON,51000
2013,IDAHO,44000
2013,MINNESOTA,17000
2013,MONTANA,72000
2013,NORTH DAKOTA,920000
2013,OKLAHOMA,205000
2013,OREGON,13000
2013,OTHER STATES,40000
2013,WASHINGTON,37000
2012,IDAHO,37500
2012,MINNESOTA,31000
2012,MONTANA,51000
2012,NORTH DAKOTA,1460000
2012,OKLAHOMA,130000
2012,OREGON,7300
2012,OTHER STATES,22600
2012,WASHINGTON,15000
2011,IDAHO,19000
2011,MINNESOTA,29000
2011,MONTANA,31000
2011,NORTH DAKOTA,860000
2011,OKLAHOMA,90000
2011,OREGON,5300
2011,OTHER STATES,16700
2011,WASHINGTON,10500
2010,IDAHO,19500
2010,MINNESOTA,46000
2010,MONTANA,17500
2010,NORTH DAKOTA,1280000
2010,OKLAHOMA,60000
2010,OREGON,6000
2010,OTHER STATES,19800
2010,WASHINGTON,0
2009,IDAHO,15000
2009,MINNESOTA,13000
2009,MONTANA,6500
2009,NORTH DAKOTA,730000
2009,OKLAHOMA,35000
2009,OREGON,4900
2009,OTHER STATES,15600
2008,MINNESOTA,23000
2008,MONTANA,7500
2008,NORTH DAKOTA,910000
2008,OTHER STATES,70500
2007,MINNESOTA,31000
2007,MONTANA,8500
2007,NORTH DAKOTA,1080000
2007,OTHER STATES,56500
2006,MINNESOTA,28000
2006,MONTANA,10000
2006,NORTH DAKOTA,940000
2006,OTHER STATES,66000
2005,MINNESOTA,55000
2005,MONTANA,17000
2005,NORTH DAKOTA,1040000
2005,OTHER STATES,47000
2004,MINNESOTA,35000
2004,MONTANA,15000
2004,NORTH DAKOTA,780000
2004,OTHER STATES,50000
2003,MINNESOTA,57000
2003,MONTANA,28000
2003,NORTH DAKOTA,970000
2003,OTHER STATES,55000
2002,MINNESOTA,80000
2002,MONTANA,37500
2002,NORTH DAKOTA,1300000
2002,OTHER STATES,80000
2001,MINNESOTA,80000
2001,MONTANA,58000
2001,NORTH DAKOTA,1300000
2001,OTHER STATES,114000
2000,MINNESOTA,140000
2000,MONTANA,65000
2000,NORTH DAKOTA,1270000
2000,OTHER STATES,145000
1999,MINNESOTA,105000
1999,MONTANA,60000
1999,NORTH DAKOTA,855000
1999,OTHER STATES,116000
1998,MINNESOTA,210000
1998,NORTH DAKOTA,800000
1998,OTHER STATES,105000
1997,MINNESOTA,110000
1997,NORTH DAKOTA,460000
1997,OTHER STATES,101000
1996,NORTH DAKOTA,220000
1995,NORTH DAKOTA,215000
1994,NORTH DAKOTA,130000
1993,NORTH DAKOTA,48000
1992,NORTH DAKOTA,23000
1991,NORTH DAKOTA,18000
1990,NORTH DAKOTA,0
