Year,State,CottonAcres
2021,ALABAMA,405000
2021,ARIZONA,129000
2021,ARKANSAS,475000
2021,CALIFORNIA,111000
2021,FLORIDA,91000
2021,GEORGIA,1170000
2021,KANSAS,110000
2021,LOUISIANA,110000
2021,MISSISSIPPI,445000
2021,MISSOURI,315000
2021,NEW MEXICO,48500
2021,NORTH CAROLINA,370000
2021,OKLAHOMA,485000
2021,SOUTH CAROLINA,210000
2021,TENNESSEE,275000
2021,TEXAS,6367000
2021,VIRGINIA,74000
2020,ALABAMA,450000
2020,ARIZONA,131500
2020,ARKANSAS,525000
2020,CALIFORNIA,181000
2020,FLORIDA,98000
2020,GEORGIA,1190000
2020,KANSAS,195000
2020,LOUISIANA,170000
2020,MISSISSIPPI,530000
2020,MISSOURI,295000
2020,NEW MEXICO,53500
2020,NORTH CAROLINA,360000
2020,OKLAHOMA,525000
2020,SOUTH CAROLINA,190000
2020,TENNESSEE,280000
2020,TEXAS,6838000
2020,VIRGINIA,80000
2019,ALABAMA,540000
2019,ARIZONA,167500
2019,ARKANSAS,620000
2019,CALIFORNIA,258000
2019,FLORIDA,112000
2019,GEORGIA,1400000
2019,KANSAS,175000
2019,LOUISIANA,280000
2019,MISSISSIPPI,710000
2019,MISSOURI,380000
2019,NEW MEXICO,68200
2019,NORTH CAROLINA,510000
2019,OKLAHOMA,640000
2019,SOUTH CAROLINA,300000
2019,TENNESSEE,410000
2019,TEXAS,7062000
2019,VIRGINIA,103000
2018,ALABAMA,510000
2018,ARIZONA,174500
2018,ARKANSAS,485000
2018,CALIFORNIA,259000
2018,FLORIDA,117000
2018,GEORGIA,1430000
2018,KANSAS,165000
2018,LOUISIANA,195000
2018,MISSISSIPPI,620000
2018,MISSOURI,325000
2018,NEW MEXICO,83800
2018,NORTH CAROLINA,430000
2018,OKLAHOMA,780000
2018,SOUTH CAROLINA,300000
2018,TENNESSEE,360000
2018,TEXAS,7768000
2018,VIRGINIA,98000
2017,ALABAMA,435000
2017,ARIZONA,175000
2017,ARKANSAS,445000
2017,CALIFORNIA,304000
2017,FLORIDA,99000
2017,GEORGIA,1280000
2017,KANSAS,93000
2017,LOUISIANA,220000
2017,MISSISSIPPI,630000
2017,MISSOURI,305000
2017,NEW MEXICO,73500
2017,NORTH CAROLINA,375000
2017,OKLAHOMA,590000
2017,SOUTH CAROLINA,250000
2017,TENNESSEE,345000
2017,TEXAS,7014000
2017,VIRGINIA,84000
2016,ALABAMA,345000
2016,ARIZONA,134500
2016,ARKANSAS,380000
2016,CALIFORNIA,218000
2016,FLORIDA,103000
2016,GEORGIA,1180000
2016,KANSAS,33000
2016,LOUISIANA,140000
2016,MISSISSIPPI,435000
2016,MISSOURI,280000
2016,NEW MEXICO,55000
2016,NORTH CAROLINA,280000
2016,OKLAHOMA,305000
2016,SOUTH CAROLINA,190000
2016,TENNESSEE,255000
2016,TEXAS,5667000
2016,VIRGINIA,73000
2015,ALABAMA,315000
2015,ARIZONA,106500
2015,ARKANSAS,210000
2015,CALIFORNIA,164000
2015,FLORIDA,85000
2015,GEORGIA,1130000
2015,KANSAS,16000
2015,LOUISIANA,115000
2015,MISSISSIPPI,320000
2015,MISSOURI,185000
2015,NEW MEXICO,42000
2015,NORTH CAROLINA,385000
2015,OKLAHOMA,215000
2015,SOUTH CAROLINA,235000
2015,TENNESSEE,155000
2015,TEXAS,4817000
2015,VIRGINIA,85000
2014,ALABAMA,350000
2014,ARIZONA,165000
2014,ARKANSAS,335000
2014,CALIFORNIA,218000
2014,FLORIDA,107000
2014,GEORGIA,1380000
2014,KANSAS,31000
2014,LOUISIANA,170000
2014,MISSISSIPPI,425000
2014,MISSOURI,250000
2014,NEW MEXICO,48400
2014,NORTH CAROLINA,465000
2014,OKLAHOMA,245000
2014,SOUTH CAROLINA,280000
2014,TENNESSEE,275000
2014,TEXAS,6317000
2014,VIRGINIA,87000
2013,ALABAMA,365000
2013,ARIZONA,161500
2013,ARKANSAS,310000
2013,CALIFORNIA,280000
2013,FLORIDA,131000
2013,GEORGIA,1370000
2013,KANSAS,27000
2013,LOUISIANA,130000
2013,MISSISSIPPI,290000
2013,MISSOURI,255000
2013,NEW MEXICO,42500
2013,NORTH CAROLINA,465000
2013,OKLAHOMA,185000
2013,SOUTH CAROLINA,258000
2013,TENNESSEE,250000
2013,TEXAS,5809000
2013,VIRGINIA,78000
2012,ALABAMA,380000
2012,ARIZONA,203000
2012,ARKANSAS,595000
2012,CALIFORNIA,367000
2012,FLORIDA,108000
2012,GEORGIA,1290000
2012,KANSAS,56000
2012,LOUISIANA,230000
2012,MISSISSIPPI,475000
2012,MISSOURI,350000
2012,NEW MEXICO,47400
2012,NORTH CAROLINA,585000
2012,OKLAHOMA,305000
2012,SOUTH CAROLINA,299000
2012,TENNESSEE,380000
2012,TEXAS,6508000
2012,VIRGINIA,86000
2011,ALABAMA,460000
2011,ARIZONA,260000
2011,ARKANSAS,680000
2011,CALIFORNIA,456000
2011,FLORIDA,122000
2011,GEORGIA,1600000
2011,KANSAS,80000
2011,LOUISIANA,295000
2011,MISSISSIPPI,630000
2011,MISSOURI,375000
2011,NEW MEXICO,73400
2011,NORTH CAROLINA,805000
2011,OKLAHOMA,415000
2011,SOUTH CAROLINA,303000
2011,TENNESSEE,495000
2011,TEXAS,7570000
2011,VIRGINIA,116000
2010,ALABAMA,340000
2010,ARIZONA,197500
2010,ARKANSAS,545000
2010,CALIFORNIA,306000
2010,FLORIDA,92000
2010,GEORGIA,1330000
2010,KANSAS,51000
2010,LOUISIANA,255000
2010,MISSISSIPPI,420000
2010,MISSOURI,310000
2010,NEW MEXICO,50700
2010,NORTH CAROLINA,550000
2010,OKLAHOMA,285000
2010,SOUTH CAROLINA,202000
2010,TENNESSEE,390000
2010,TEXAS,5567000
2010,VIRGINIA,83000
2009,ALABAMA,255000
2009,ARIZONA,146600
2009,ARKANSAS,520000
2009,CALIFORNIA,190000
2009,FLORIDA,82000
2009,GEORGIA,1000000
2009,KANSAS,38000
2009,LOUISIANA,230000
2009,MISSISSIPPI,305000
2009,MISSOURI,272000
2009,NEW MEXICO,33900
2009,NORTH CAROLINA,375000
2009,OKLAHOMA,205000
2009,SOUTH CAROLINA,115000
2009,TENNESSEE,300000
2009,TEXAS,5018000
2009,VIRGINIA,64000
2008,ALABAMA,290000
2008,ARIZONA,135800
2008,ARKANSAS,620000
2008,CALIFORNIA,275000
2008,FLORIDA,67000
2008,GEORGIA,940000
2008,KANSAS,35000
2008,LOUISIANA,300000
2008,MISSISSIPPI,365000
2008,MISSOURI,306000
2008,NEW MEXICO,40600
2008,NORTH CAROLINA,430000
2008,OKLAHOMA,170000
2008,SOUTH CAROLINA,135000
2008,TENNESSEE,285000
2008,TEXAS,5015600
2008,VIRGINIA,61000
2007,ALABAMA,400000
2007,ARIZONA,172500
2007,ARKANSAS,860000
2007,CALIFORNIA,455000
2007,FLORIDA,85000
2007,GEORGIA,1030000
2007,KANSAS,47000
2007,LOUISIANA,335000
2007,MISSISSIPPI,660000
2007,MISSOURI,380000
2007,NEW MEXICO,47700
2007,NORTH CAROLINA,500000
2007,OKLAHOMA,175000
2007,SOUTH CAROLINA,180000
2007,TENNESSEE,515000
2007,TEXAS,4925000
2007,VIRGINIA,60000
2006,ALABAMA,575000
2006,ARIZONA,197000
2006,ARKANSAS,1170000
2006,CALIFORNIA,560000
2006,FLORIDA,103000
2006,GEORGIA,1400000
2006,KANSAS,115000
2006,LOUISIANA,635000
2006,MISSISSIPPI,1230000
2006,MISSOURI,500000
2006,NEW MEXICO,63000
2006,NORTH CAROLINA,870000
2006,OKLAHOMA,320000
2006,SOUTH CAROLINA,300000
2006,TENNESSEE,700000
2006,TEXAS,6431000
2006,VIRGINIA,105000
2005,ALABAMA,550000
2005,ARIZONA,234100
2005,ARKANSAS,1050000
2005,CALIFORNIA,660000
2005,FLORIDA,86000
2005,GEORGIA,1220000
2005,KANSAS,74000
2005,LOUISIANA,610000
2005,MISSISSIPPI,1210000
2005,MISSOURI,440000
2005,NEW MEXICO,67500
2005,NORTH CAROLINA,815000
2005,OKLAHOMA,255000
2005,SOUTH CAROLINA,266000
2005,TENNESSEE,640000
2005,TEXAS,5974800
2005,VIRGINIA,93000
2004,ALABAMA,550000
2004,ARIZONA,243000
2004,ARKANSAS,910000
2004,CALIFORNIA,775000
2004,FLORIDA,89000
2004,GEORGIA,1290000
2004,KANSAS,85000
2004,LOUISIANA,500000
2004,MISSISSIPPI,1110000
2004,MISSOURI,380000
2004,NEW MEXICO,78600
2004,NORTH CAROLINA,730000
2004,OKLAHOMA,220000
2004,SOUTH CAROLINA,215000
2004,TENNESSEE,530000
2004,TEXAS,5871000
2004,VIRGINIA,82000
2003,ALABAMA,525000
2003,ARIZONA,217500
2003,ARKANSAS,980000
2003,CALIFORNIA,700000
2003,FLORIDA,94000
2003,GEORGIA,1300000
2003,KANSAS,90000
2003,LOUISIANA,525000
2003,MISSISSIPPI,1110000
2003,MISSOURI,400000
2003,NEW MEXICO,59100
2003,NORTH CAROLINA,810000
2003,OKLAHOMA,180000
2003,SOUTH CAROLINA,220000
2003,TENNESSEE,560000
2003,TEXAS,5620000
2003,VIRGINIA,89000
2002,ALABAMA,590000
2002,ARIZONA,223300
2002,ARKANSAS,960000
2002,CALIFORNIA,690000
2002,FLORIDA,120000
2002,GEORGIA,1450000
2002,KANSAS,80000
2002,LOUISIANA,520000
2002,MISSISSIPPI,1170000
2002,MISSOURI,380000
2002,NEW MEXICO,61100
2002,NORTH CAROLINA,940000
2002,OKLAHOMA,200000
2002,SOUTH CAROLINA,290000
2002,TENNESSEE,565000
2002,TEXAS,5618500
2002,VIRGINIA,100000
2001,ALABAMA,610000
2001,ARIZONA,302800
2001,ARKANSAS,1080000
2001,CALIFORNIA,870000
2001,FLORIDA,125000
2001,GEORGIA,1490000
2001,KANSAS,40500
2001,LOUISIANA,870000
2001,MISSISSIPPI,1620000
2001,MISSOURI,405000
2001,NEW MEXICO,73200
2001,NORTH CAROLINA,970000
2001,OKLAHOMA,270000
2001,SOUTH CAROLINA,300000
2001,TENNESSEE,620000
2001,TEXAS,6017000
2001,VIRGINIA,105000
2000,ALABAMA,590000
2000,ARIZONA,285000
2000,ARKANSAS,960000
2000,CALIFORNIA,920000
2000,FLORIDA,130000
2000,GEORGIA,1500000
2000,KANSAS,40000
2000,LOUISIANA,710000
2000,MISSISSIPPI,1300000
2000,MISSOURI,400000
2000,NEW MEXICO,76200
2000,NORTH CAROLINA,930000
2000,OKLAHOMA,280000
2000,SOUTH CAROLINA,300000
2000,TENNESSEE,570000
2000,TEXAS,6416000
2000,VIRGINIA,110000
1999,ALABAMA,565000
1999,ARIZONA,279000
1999,ARKANSAS,970000
1999,CALIFORNIA,850000
1999,FLORIDA,107000
1999,GEORGIA,1470000
1999,KANSAS,33000
1999,LOUISIANA,615000
1999,MISSISSIPPI,1200000
1999,MISSOURI,380000
1999,NEW MEXICO,91500
1999,NORTH CAROLINA,880000
1999,OKLAHOMA,240000
1999,SOUTH CAROLINA,330000
1999,TENNESSEE,570000
1999,TEXAS,6183000
1999,VIRGINIA,110000
1998,ALABAMA,495000
1998,ARIZONA,265900
1998,ARKANSAS,920000
1998,CALIFORNIA,850000
1998,FLORIDA,89000
1998,GEORGIA,1370000
1998,KANSAS,17000
1998,LOUISIANA,535000
1998,MISSISSIPPI,950000
1998,MISSOURI,370000
1998,NEW MEXICO,73600
1998,NORTH CAROLINA,710000
1998,OKLAHOMA,160000
1998,SOUTH CAROLINA,290000
1998,TENNESSEE,450000
1998,TEXAS,5755000
1998,VIRGINIA,92000
1997,ALABAMA,535000
1997,ARIZONA,347000
1997,ARKANSAS,980000
1997,CALIFORNIA,1065000
1997,FLORIDA,100000
1997,GEORGIA,1440000
1997,KANSAS,12000
1997,LOUISIANA,655000
1997,MISSISSIPPI,985000
1997,MISSOURI,395000
1997,NEW MEXICO,81000
1997,NORTH CAROLINA,690000
1997,OKLAHOMA,200000
1997,SOUTH CAROLINA,290000
1997,TENNESSEE,490000
1997,TEXAS,5532000
1997,VIRGINIA,101000
1996,ALABAMA,520000
1996,ARIZONA,357000
1996,ARKANSAS,1000000
1996,CALIFORNIA,1165000
1996,FLORIDA,99000
1996,GEORGIA,1340000
1996,KANSAS,4500
1996,LOUISIANA,890000
1996,MISSISSIPPI,1120000
1996,MISSOURI,390000
1996,NEW MEXICO,73000
1996,NORTH CAROLINA,740000
1996,OKLAHOMA,290000
1996,SOUTH CAROLINA,284000
1996,TENNESSEE,540000
1996,TEXAS,5737000
1996,VIRGINIA,103000
1995,ALABAMA,590000
1995,ARIZONA,413600
1995,ARKANSAS,1170000
1995,CALIFORNIA,1285000
1995,FLORIDA,110000
1995,GEORGIA,1500000
1995,KANSAS,3800
1995,LOUISIANA,1085000
1995,MISSISSIPPI,1460000
1995,MISSOURI,462000
1995,NEW MEXICO,76000
1995,NORTH CAROLINA,805000
1995,OKLAHOMA,380000
1995,SOUTH CAROLINA,348000
1995,TENNESSEE,700000
1995,TEXAS,6436000
1995,VIRGINIA,107000
1994,ALABAMA,463000
1994,ARIZONA,361000
1994,ARKANSAS,980000
1994,CALIFORNIA,1181000
1994,FLORIDA,69000
1994,GEORGIA,885000
1994,KANSAS,1400
1994,LOUISIANA,900000
1994,MISSISSIPPI,1280000
1994,MISSOURI,352000
