Year,State,DryBeanAcres
2018,CALIFORNIA,48000
2018,COLORADO,42000
2018,IDAHO,185000
2018,MICHIGAN,195000
2018,MINNESOTA,185000
2018,MONTANA,395000
2018,NEBRASKA,140200
2018,NORTH DAKOTA,635000
2018,OTHER STATES,0
2018,TEXAS,20300
2018,WASHINGTON,218000
2018,WYOMING,31000
2017,CALIFORNIA,50000
2017,COLORADO,58000
2017,IDAHO,180000
2017,MICHIGAN,220000
2017,MINNESOTA,170000
2017,MONTANA,275000
2017,NEBRASKA,180000
2017,NORTH DAKOTA,705000
2017,OTHER STATES,0
2017,TEXAS,22000
2017,WASHINGTON,196000
2017,WYOMING,41000
2016,CALIFORNIA,50000
2016,COLORADO,46000
2016,IDAHO,140000
2016,MICHIGAN,210000
2016,MINNESOTA,155000
2016,MONTANA,103000
2016,NEBRASKA,138000
2016,NORTH DAKOTA,625000
2016,OTHER STATES,0
2016,TEXAS,29000
2016,WASHINGTON,135000
2016,WYOMING,33000
2015,ARIZONA,9400
2015,CALIFORNIA,45000
2015,COLORADO,50000
2015,IDAHO,120000
2015,KANSAS,8000
2015,MICHIGAN,275000
2015,MINNESOTA,190000
2015,MONTANA,49000
2015,NEBRASKA,140000
2015,NEW MEXICO,12900
2015,NEW YORK,8000
2015,NORTH DAKOTA,655000
2015,OREGON,9000
2015,OTHER STATES,0
2015,SOUTH DAKOTA,12500
2015,TEXAS,33000
2015,WASHINGTON,110000
2015,WISCONSIN,7900
2015,WYOMING,32000
2014,ARIZONA,11000
2014,CALIFORNIA,48000
2014,COLORADO,46000
2014,IDAHO,125000
2014,KANSAS,7500
2014,MICHIGAN,230000
2014,MINNESOTA,155000
2014,MONTANA,37500
2014,NEBRASKA,170000
2014,NEW MEXICO,10500
2014,NEW YORK,8000
2014,NORTH DAKOTA,630000
2014,OREGON,8500
2014,SOUTH DAKOTA,14000
2014,TEXAS,24500
2014,WASHINGTON,127700
2014,WISCONSIN,7900
2014,WYOMING,42000
2013,ARIZONA,10000
2013,CALIFORNIA,50000
2013,COLORADO,39000
2013,IDAHO,125000
2013,KANSAS,5000
2013,MICHIGAN,175000
2013,MINNESOTA,126500
2013,MONTANA,24000
2013,NEBRASKA,130600
2013,NEW MEXICO,10000
2013,NEW YORK,9000
2013,NORTH DAKOTA,440000
2013,OREGON,8300
2013,SOUTH DAKOTA,12000
2013,TEXAS,33000
2013,WASHINGTON,120000
2013,WISCONSIN,5400
2013,WYOMING,39000
2012,ARIZONA,13500
2012,CALIFORNIA,58500
2012,COLORADO,50000
2012,IDAHO,145000
2012,KANSAS,8000
2012,MICHIGAN,200000
2012,MINNESOTA,160000
2012,MONTANA,32000
2012,NEBRASKA,145000
2012,NEW MEXICO,9800
2012,NEW YORK,10000
2012,NORTH DAKOTA,700000
2012,OREGON,10500
2012,SOUTH DAKOTA,13000
