Year,State,Value
1990,ARIZONA,45000
1991,ARIZONA,40000
1992,ARIZONA,45000
1993,ARIZONA,55000
1994,ARIZONA,95000
1995,ARIZONA,100000
1996,ARIZONA,165000
1997,ARIZONA,90000
1998,ARIZONA,145000
1999,ARIZONA,75000
2000,ARIZONA,85000
2001,ARIZONA,88000
2002,ARIZONA,93000
2003,ARIZONA,115000
2004,ARIZONA,100000
2005,ARIZONA,80000
2006,ARIZONA,75000
2007,ARIZONA,83000
2008,ARIZONA,150000
2009,ARIZONA,115000
2010,ARIZONA,66000
2011,ARIZONA,73000
2012,ARIZONA,105000
2013,ARIZONA,75000
2014,ARIZONA,77000
2015,ARIZONA,155000
2016,ARIZONA,97000
2017,ARIZONA,90000
2018,ARIZONA,74000
2019,ARIZONA,36000
2020,ARIZONA,50000
2021,ARIZONA,53000
1990,CALIFORNIA,60000
1991,CALIFORNIA,33000
1992,CALIFORNIA,57000
1993,CALIFORNIA,41000
1994,CALIFORNIA,60000
1995,CALIFORNIA,70000
1996,CALIFORNIA,140000
1997,CALIFORNIA,145000
1998,CALIFORNIA,180000
1999,CALIFORNIA,90000
2000,CALIFORNIA,100000
2001,CALIFORNIA,85000
2002,CALIFORNIA,95000
2003,CALIFORNIA,130000
2004,CALIFORNIA,120000
2005,CALIFORNIA,75000
2006,CALIFORNIA,70000
2007,CALIFORNIA,90000
2008,CALIFORNIA,150000
2009,CALIFORNIA,150000
2010,CALIFORNIA,85000
2011,CALIFORNIA,95000
2012,CALIFORNIA,125000
2013,CALIFORNIA,70000
2014,CALIFORNIA,40000
2015,CALIFORNIA,70000
2016,CALIFORNIA,55000
2017,CALIFORNIA,35000
2018,CALIFORNIA,45000
2019,CALIFORNIA,30000
2020,CALIFORNIA,25000
2021,CALIFORNIA,25000
2005,IDAHO,20000
2006,IDAHO,15000
2007,IDAHO,15000
2008,IDAHO,10000
2009,IDAHO,19000
2010,IDAHO,17000
2011,IDAHO,11000
2012,IDAHO,13000
2013,IDAHO,11000
2014,IDAHO,11000
2015,IDAHO,10000
2016,IDAHO,10000
2017,IDAHO,25000
2018,IDAHO,11000
2019,IDAHO,5000
2020,IDAHO,10000
2021,IDAHO,7000
1990,MINNESOTA,30000
1991,MINNESOTA,30000
1992,MINNESOTA,10000
1993,MINNESOTA,10000
1994,MINNESOTA,13000
1995,MINNESOTA,13000
1996,MINNESOTA,10000
1997,MINNESOTA,5000
1998,MINNESOTA,5000
1999,MINNESOTA,5000
2000,MINNESOTA,2000
2001,MINNESOTA,2000
2002,MINNESOTA,5000
2003,MINNESOTA,2000
2004,MINNESOTA,1000
1990,MONTANA,245000
1991,MONTANA,180000
1992,MONTANA,150000
1993,MONTANA,115000
1994,MONTANA,180000
1995,MONTANA,270000
1996,MONTANA,290000
1997,MONTANA,300000
1998,MONTANA,450000
1999,MONTANA,360000
2000,MONTANA,480000
2001,MONTANA,510000
2002,MONTANA,590000
2003,MONTANA,640000
2004,MONTANA,570000
2005,MONTANA,590000
2006,MONTANA,400000
2007,MONTANA,480000
2008,MONTANA,600000
2009,MONTANA,570000
2010,MONTANA,520000
2011,MONTANA,400000
2012,MONTANA,550000
2013,MONTANA,450000
2014,MONTANA,435000
2015,MONTANA,620000
2016,MONTANA,780000
2017,MONTANA,890000
2018,MONTANA,840000
2019,MONTANA,550000
2020,MONTANA,695000
2021,MONTANA,670000
1990,NORTH DAKOTA,3100000
1991,NORTH DAKOTA,2900000
1992,NORTH DAKOTA,2250000
1993,NORTH DAKOTA,2000000
1994,NORTH DAKOTA,2450000
1995,NORTH DAKOTA,2950000
1996,NORTH DAKOTA,3000000
1997,NORTH DAKOTA,2750000
1998,NORTH DAKOTA,3000000
1999,NORTH DAKOTA,3450000
2000,NORTH DAKOTA,3250000
2001,NORTH DAKOTA,2200000
2002,NORTH DAKOTA,2100000
2003,NORTH DAKOTA,2000000
2004,NORTH DAKOTA,1750000
2005,NORTH DAKOTA,1980000
2006,NORTH DAKOTA,1300000
2007,NORTH DAKOTA,1480000
2008,NORTH DAKOTA,1800000
2009,NORTH DAKOTA,1650000
2010,NORTH DAKOTA,1800000
2011,NORTH DAKOTA,750000
2012,NORTH DAKOTA,1340000
2013,NORTH DAKOTA,790000
2014,NORTH DAKOTA,840000
2015,NORTH DAKOTA,1090000
