Year,State,Value
1990,ALABAMA,"750,000"
1991,ALABAMA,"780,000"
1992,ALABAMA,"710,000"
1993,ALABAMA,"720,000"
1994,ALABAMA,"730,000"
1995,ALABAMA,"720,000"
1996,ALABAMA,"730,000"
1997,ALABAMA,"770,000"
1998,ALABAMA,"750,000"
1999,ALABAMA,"800,000"
2000,ALABAMA,"720,000"
2001,ALABAMA,"920,000"
2002,ALABAMA,"825,000"
2003,ALABAMA,"780,000"
2004,ALABAMA,"850,000"
2005,ALABAMA,"730,000"
2006,ALABAMA,"720,000"
2007,ALABAMA,"840,000"
2008,ALABAMA,"900,000"
2009,ALABAMA,"800,000"
2010,ALABAMA,"780,000"
2011,ALABAMA,"800,000"
2012,ALABAMA,"860,000"
2013,ALABAMA,"790,000"
2014,ALABAMA,"750,000"
2015,ALABAMA,"730,000"
2016,ALABAMA,"810,000"
2017,ALABAMA,"860,000"
2018,ALABAMA,"850,000"
2019,ALABAMA,"700,000"
2020,ALABAMA,"750,000"
2021,ALABAMA,"750,000"
1990,ARIZONA,"195,000"
1991,ARIZONA,"200,000"
1992,ARIZONA,"180,000"
1993,ARIZONA,"185,000"
1994,ARIZONA,"195,000"
1995,ARIZONA,"195,000"
1996,ARIZONA,"179,000"
1997,ARIZONA,"230,000"
1998,ARIZONA,"240,000"
1999,ARIZONA,"240,000"
2000,ARIZONA,"247,000"
2001,ARIZONA,"258,000"
2002,ARIZONA,"275,000"
2003,ARIZONA,"275,000"
2004,ARIZONA,"275,000"
2005,ARIZONA,"300,000"
2006,ARIZONA,"295,000"
2007,ARIZONA,"295,000"
2008,ARIZONA,"295,000"
2009,ARIZONA,"310,000"
2010,ARIZONA,"320,000"
2011,ARIZONA,"285,000"
2012,ARIZONA,"295,000"
2013,ARIZONA,"285,000"
2014,ARIZONA,"300,000"
2015,ARIZONA,"335,000"
2016,ARIZONA,"320,000"
2017,ARIZONA,"325,000"
2018,ARIZONA,"300,000"
2019,ARIZONA,"325,000"
2020,ARIZONA,"310,000"
2021,ARIZONA,"315,000"
1990,ARKANSAS,"975,000"
1991,ARKANSAS,"1,100,000"
1992,ARKANSAS,"1,200,000"
1993,ARKANSAS,"1,180,000"
1994,ARKANSAS,"1,125,000"
1995,ARKANSAS,"1,050,000"
1996,ARKANSAS,"1,175,000"
1997,ARKANSAS,"1,225,000"
1998,ARKANSAS,"1,175,000"
1999,ARKANSAS,"1,240,000"
2000,ARKANSAS,"1,250,000"
2001,ARKANSAS,"1,320,000"
2002,ARKANSAS,"1,430,000"
2003,ARKANSAS,"1,340,000"
2004,ARKANSAS,"1,420,000"
2005,ARKANSAS,"1,310,000"
2006,ARKANSAS,"1,465,000"
2007,ARKANSAS,"1,465,000"
2008,ARKANSAS,"1,405,000"
2009,ARKANSAS,"1,415,000"
2010,ARKANSAS,"1,480,000"
2011,ARKANSAS,"1,400,000"
2012,ARKANSAS,"1,450,000"
2013,ARKANSAS,"1,375,000"
2014,ARKANSAS,"1,305,000"
2015,ARKANSAS,"1,225,000"
2016,ARKANSAS,"1,304,000"
2017,ARKANSAS,"1,293,000"
2018,ARKANSAS,"1,203,000"
2019,ARKANSAS,"1,253,000"
2020,ARKANSAS,"1,273,000"
2021,ARKANSAS,"1,293,000"
1990,CALIFORNIA,"1,630,000"
1991,CALIFORNIA,"1,680,000"
1992,CALIFORNIA,"1,450,000"
1993,CALIFORNIA,"1,380,000"
1994,CALIFORNIA,"1,470,000"
1995,CALIFORNIA,"1,470,000"
1996,CALIFORNIA,"1,450,000"
1997,CALIFORNIA,"1,510,000"
1998,CALIFORNIA,"1,630,000"
1999,CALIFORNIA,"1,580,000"
2000,CALIFORNIA,"1,540,000"
2001,CALIFORNIA,"1,560,000"
2002,CALIFORNIA,"1,750,000"
2003,CALIFORNIA,"1,620,000"
2004,CALIFORNIA,"1,600,000"
2005,CALIFORNIA,"1,620,000"
2006,CALIFORNIA,"1,680,000"
2007,CALIFORNIA,"1,570,000"
2008,CALIFORNIA,"1,610,000"
2009,CALIFORNIA,"1,540,000"
2010,CALIFORNIA,"1,480,000"
2011,CALIFORNIA,"1,410,000"
2012,CALIFORNIA,"1,500,000"
2013,CALIFORNIA,"1,370,000"
2014,CALIFORNIA,"1,345,000"
