Year,State,OatAcres
2021,ARKANSAS,10000
2021,CALIFORNIA,100000
2021,GEORGIA,80000
2021,IDAHO,50000
2021,ILLINOIS,60000
2021,IOWA,130000
2021,KANSAS,115000
2021,MAINE,22000
2021,MICHIGAN,55000
2021,MINNESOTA,180000
2021,MISSOURI,50000
2021,MONTANA,60000
2021,NEBRASKA,120000
2021,NEW YORK,55000
2021,NORTH CAROLINA,33000
2021,NORTH DAKOTA,355000
2021,OHIO,45000
2021,OKLAHOMA,80000
2021,OREGON,15000
2021,OTHER STATES,0
2021,PENNSYLVANIA,85000
2021,SOUTH DAKOTA,215000
2021,TEXAS,460000
2021,WISCONSIN,175000
2020,ARKANSAS,8000
2020,CALIFORNIA,95000
2020,GEORGIA,80000
2020,IDAHO,55000
2020,ILLINOIS,60000
2020,IOWA,170000
2020,KANSAS,140000
2020,MAINE,26000
2020,MICHIGAN,70000
2020,MINNESOTA,255000
2020,MISSOURI,35000
2020,MONTANA,75000
2020,NEBRASKA,135000
2020,NEW YORK,52000
2020,NORTH CAROLINA,37000
2020,NORTH DAKOTA,365000
2020,OHIO,55000
2020,OKLAHOMA,110000
2020,OREGON,20000
2020,OTHER STATES,0
2020,PENNSYLVANIA,86000
2020,SOUTH DAKOTA,310000
2020,TEXAS,470000
2020,WISCONSIN,300000
2019,ARKANSAS,5000
2019,CALIFORNIA,90000
2019,GEORGIA,70000
2019,IDAHO,60000
2019,ILLINOIS,70000
2019,IOWA,215000
2019,KANSAS,120000
2019,MAINE,22000
2019,MICHIGAN,70000
2019,MINNESOTA,240000
2019,MISSOURI,50000
2019,MONTANA,75000
2019,NEBRASKA,120000
2019,NEW YORK,56000
2019,NORTH CAROLINA,22000
2019,NORTH DAKOTA,355000
2019,OHIO,75000
2019,OKLAHOMA,100000
2019,OREGON,20000
2019,OTHER STATES,0
2019,PENNSYLVANIA,85000
2019,SOUTH DAKOTA,245000
2019,TEXAS,400000
2019,WISCONSIN,265000
2018,ALABAMA,40000
2018,ARKANSAS,10000
2018,CALIFORNIA,110000
2018,COLORADO,95000
2018,GEORGIA,60000
2018,IDAHO,40000
2018,ILLINOIS,40000
2018,IOWA,135000
2018,KANSAS,120000
2018,MAINE,21000
2018,MICHIGAN,75000
2018,MINNESOTA,180000
2018,MISSOURI,35000
2018,MONTANA,70000
2018,NEBRASKA,125000
2018,NEW YORK,69000
2018,NORTH CAROLINA,30000
2018,NORTH DAKOTA,300000
2018,OHIO,55000
2018,OKLAHOMA,50000
2018,OREGON,20000
2018,PENNSYLVANIA,65000
2018,SOUTH CAROLINA,19000
2018,SOUTH DAKOTA,290000
2018,TEXAS,450000
2018,WASHINGTON,17000
2018,WISCONSIN,200000
2018,WYOMING,25000
2017,ALABAMA,40000
2017,ALASKA,1700
2017,ARKANSAS,11000
2017,CALIFORNIA,110000
2017,COLORADO,50000
2017,GEORGIA,50000
2017,IDAHO,50000
2017,ILLINOIS,35000
2017,IOWA,115000
2017,KANSAS,100000
2017,MAINE,22000
2017,MICHIGAN,55000
2017,MINNESOTA,170000
2017,MISSOURI,30000
2017,MONTANA,70000
2017,NEBRASKA,110000
2017,NEW YORK,55000
2017,NORTH CAROLINA,35000
2017,NORTH DAKOTA,295000
2017,OHIO,60000
2017,OKLAHOMA,45000
2017,OREGON,25000
2017,OTHER STATES,0
2017,PENNSYLVANIA,70000
2017,SOUTH CAROLINA,20000
2017,SOUTH DAKOTA,290000
2017,TEXAS,455000
2017,WASHINGTON,16000
2017,WISCONSIN,180000
2017,WYOMING,25000
2016,ALABAMA,50000
2016,ALASKA,2000
2016,ARKANSAS,11000
2016,CALIFORNIA,110000
2016,COLORADO,55000
2016,GEORGIA,45000
2016,IDAHO,55000
2016,ILLINOIS,45000
2016,IOWA,120000
2016,KANSAS,120000
2016,MAINE,25000
2016,MICHIGAN,65000
2016,MINNESOTA,210000
2016,MISSOURI,45000
2016,MONTANA,60000
2016,NEBRASKA,135000
2016,NEW YORK,90000
2016,NORTH CAROLINA,35000
2016,NORTH DAKOTA,290000
2016,OHIO,50000
2016,OKLAHOMA,65000
2016,OREGON,30000
2016,OTHER STATES,0
2016,PENNSYLVANIA,85000
2016,SOUTH CAROLINA,17000
2016,SOUTH DAKOTA,295000
