Year,State,Value
2021,ALABAMA,"185,000"
2021,ARKANSAS,"36,000"
2021,FLORIDA,"170,000"
2021,GEORGIA,"760,000"
2021,MISSISSIPPI,"18,000"
2021,NEW MEXICO,"11,000"
2021,NORTH CAROLINA,"115,000"
2021,OKLAHOMA,"16,000"
2021,SOUTH CAROLINA,"69,000"
2021,TEXAS,"170,000"
2021,VIRGINIA,"30,000"
2020,ALABAMA,"185,000"
2020,ARKANSAS,"39,000"
2020,FLORIDA,"175,000"
2020,GEORGIA,"810,000"
2020,MISSISSIPPI,"23,000"
2020,NEW MEXICO,"6,500"
2020,NORTH CAROLINA,"107,000"
2020,OKLAHOMA,"15,000"
2020,SOUTH CAROLINA,"84,000"
2020,TEXAS,"190,000"
2020,VIRGINIA,"28,000"
2019,ALABAMA,"160,000"
2019,ARKANSAS,"34,000"
2019,FLORIDA,"165,000"
2019,GEORGIA,"675,000"
2019,MISSISSIPPI,"20,000"
2019,NEW MEXICO,"4,700"
2019,NORTH CAROLINA,"104,000"
2019,OKLAHOMA,"15,000"
2019,OTHER STATES,0
2019,SOUTH CAROLINA,"65,000"
2019,TEXAS,"165,000"
2019,VIRGINIA,"25,000"
2018,ALABAMA,"165,000"
2018,ARKANSAS,"26,000"
2018,FLORIDA,"155,000"
2018,GEORGIA,"665,000"
2018,MISSISSIPPI,"25,000"
2018,NEW MEXICO,"5,500"
2018,NORTH CAROLINA,"102,000"
2018,OKLAHOMA,"16,000"
2018,OTHER STATES,0
2018,SOUTH CAROLINA,"87,000"
2018,TEXAS,"155,000"
2018,VIRGINIA,"24,000"
2017,ALABAMA,"195,000"
2017,ARKANSAS,"30,000"
2017,FLORIDA,"195,000"
2017,GEORGIA,"835,000"
2017,MISSISSIPPI,"44,000"
2017,NEW MEXICO,"7,600"
2017,NORTH CAROLINA,"119,000"
2017,OKLAHOMA,"22,000"
2017,OTHER STATES,0
2017,SOUTH CAROLINA,"122,000"
2017,TEXAS,"275,000"
2017,VIRGINIA,"27,000"
2016,ALABAMA,"175,000"
2016,ARKANSAS,"24,000"
2016,FLORIDA,"155,000"
2016,GEORGIA,"720,000"
2016,MISSISSIPPI,"39,000"
2016,NEW MEXICO,"8,000"
2016,NORTH CAROLINA,"101,000"
2016,OKLAHOMA,"13,000"
2016,SOUTH CAROLINA,"110,000"
2016,TEXAS,"305,000"
2016,VIRGINIA,"21,000"
2015,ALABAMA,"200,000"
2015,FLORIDA,"190,000"
2015,GEORGIA,"785,000"
2015,MISSISSIPPI,"44,000"
2015,NEW MEXICO,"5,000"
2015,NORTH CAROLINA,"90,000"
2015,OKLAHOMA,"10,000"
2015,OTHER STATES,"5,000"
2015,SOUTH CAROLINA,"112,000"
2015,TEXAS,"170,000"
2015,VIRGINIA,"19,000"
2014,ALABAMA,"175,000"
2014,FLORIDA,"175,000"
2014,GEORGIA,"600,000"
2014,MISSISSIPPI,"32,000"
2014,NEW MEXICO,"4,500"
2014,NORTH CAROLINA,"94,000"
2014,OKLAHOMA,"12,000"
2014,OTHER STATES,0
2014,SOUTH CAROLINA,"112,000"
2014,TEXAS,"130,000"
2014,VIRGINIA,"19,000"
2013,ALABAMA,"140,000"
2013,FLORIDA,"140,000"
2013,GEORGIA,"430,000"
2013,MISSISSIPPI,"34,000"
2013,NEW MEXICO,"7,000"
2013,NORTH CAROLINA,"82,000"
2013,OKLAHOMA,"17,000"
2013,SOUTH CAROLINA,"81,000"
2013,TEXAS,"120,000"
2013,VIRGINIA,"16,000"
2012,ALABAMA,"220,000"
2012,FLORIDA,"210,000"
2012,GEORGIA,"735,000"
2012,MISSISSIPPI,"52,000"
2012,NEW MEXICO,"10,000"
2012,NORTH CAROLINA,"107,000"
2012,OKLAHOMA,"24,000"
2012,SOUTH CAROLINA,"110,000"
2012,TEXAS,"150,000"
2012,VIRGINIA,"20,000"
2011,ALABAMA,"170,000"
2011,FLORIDA,"170,000"
2011,GEORGIA,"475,000"
2011,MISSISSIPPI,"15,000"
2011,NEW MEXICO,"6,600"
2011,NORTH CAROLINA,"82,000"
2011,OKLAHOMA,"24,000"
2011,SOUTH CAROLINA,"77,000"
2011,TEXAS,"105,000"
2011,VIRGINIA,"16,000"
2010,ALABAMA,"190,000"
2010,FLORIDA,"145,000"
2010,GEORGIA,"565,000"
2010,MISSISSIPPI,"19,000"
2010,NEW MEXICO,"10,000"
