Year,State,PotatoAcres
2021,CALIFORNIA,29000
2021,COLORADO,53000
2021,FLORIDA,22000
2021,IDAHO,315000
2021,MAINE,56000
2021,MICHIGAN,47000
2021,MINNESOTA,44000
2021,NEBRASKA,21000
2021,NORTH DAKOTA,73000
2021,OREGON,45000
2021,TEXAS,11000
2021,WASHINGTON,160000
2021,WISCONSIN,67000
2020,CALIFORNIA,29000
2020,COLORADO,54000
2020,FLORIDA,21000
2020,IDAHO,300000
2020,MAINE,51000
2020,MICHIGAN,46000
2020,MINNESOTA,42000
2020,NEBRASKA,19000
2020,NORTH DAKOTA,72000
2020,OREGON,45000
2020,TEXAS,15500
2020,WASHINGTON,155000
2020,WISCONSIN,69000
2019,CALIFORNIA,40500
2019,COLORADO,51300
2019,FLORIDA,26000
2019,IDAHO,310000
2019,MAINE,52000
2019,MICHIGAN,50000
2019,MINNESOTA,46000
2019,NEBRASKA,20500
2019,NORTH DAKOTA,73000
2019,OREGON,43000
2019,TEXAS,15000
2019,WASHINGTON,165000
2019,WISCONSIN,71000
2018,ALASKA,500
2018,CALIFORNIA,38500
2018,COLORADO,55300
2018,FLORIDA,22000
2018,IDAHO,315000
2018,ILLINOIS,7700
2018,KANSAS,3300
2018,MAINE,49000
2018,MARYLAND,2200
2018,MICHIGAN,50000
2018,MINNESOTA,44000
2018,MISSOURI,7800
2018,MONTANA,11100
2018,NEBRASKA,19500
2018,NEW JERSEY,2000
2018,NEW YORK,14300
2018,NORTH CAROLINA,13000
2018,NORTH DAKOTA,74500
2018,OREGON,45000
2018,OTHER STATES,0
2018,TEXAS,18000
2018,VIRGINIA,4800
2018,WASHINGTON,160000
2018,WISCONSIN,69000
2017,ALASKA,560
2017,CALIFORNIA,41700
2017,COLORADO,55900
2017,FLORIDA,29000
2017,IDAHO,310000
2017,ILLINOIS,8600
2017,KANSAS,4100
2017,MAINE,48000
2017,MARYLAND,2600
2017,MICHIGAN,50000
2017,MINNESOTA,46000
2017,MISSOURI,8800
2017,MONTANA,11100
2017,NEBRASKA,19000
2017,NEW JERSEY,2000
2017,NEW YORK,14500
2017,NORTH CAROLINA,16000
2017,NORTH DAKOTA,75000
2017,OREGON,46000
2017,OTHER STATES,0
2017,TEXAS,23300
2017,VIRGINIA,5000
2017,WASHINGTON,165000
2017,WISCONSIN,71000
2016,ALASKA,550
2016,CALIFORNIA,39400
2016,COLORADO,57300
2016,FLORIDA,25000
2016,IDAHO,325000
2016,ILLINOIS,7500
2016,KANSAS,4200
2016,MAINE,47000
2016,MARYLAND, (D)
2016,MICHIGAN,48000
2016,MINNESOTA,44000
2016,MISSOURI,8200
2016,MONTANA,11100
2016,NEBRASKA,16500
2016,NEW JERSEY, (D)
2016,NEW YORK,15000
2016,NORTH CAROLINA,14000
2016,NORTH DAKOTA,80000
2016,OREGON,45000
2016,OTHER STATES,4600
2016,TEXAS,21500
2016,VIRGINIA,4400
2016,WASHINGTON,170000
2016,WISCONSIN,69000
2015,ALASKA,560
2015,ARIZONA,3600
2015,CALIFORNIA,40900
2015,COLORADO,57700
2015,DELAWARE, (D)
2015,FLORIDA,30000
2015,IDAHO,323000
2015,ILLINOIS,8000
2015,KANSAS,3800
2015,MAINE,51000
2015,MARYLAND,2400
2015,MASSACHUSETTS,3600
2015,MICHIGAN,46000
2015,MINNESOTA,41000
2015,MISSOURI,8500
2015,MONTANA,11000
2015,NEBRASKA,15500
2015,NEVADA, (D)
2015,NEW JERSEY, (D)
2015,NEW MEXICO, (D)
2015,NEW YORK,15000
2015,NORTH CAROLINA,13500
2015,NORTH DAKOTA,82000
2015,OHIO,1300
2015,OREGON,44000
2015,OTHER STATES,11600
2015,PENNSYLVANIA,5400
2015,RHODE ISLAND,600
2015,TEXAS,21500
2015,VIRGINIA,5000
2015,WASHINGTON,170000
2015,WISCONSIN,67000
2014,ALASKA,650
2014,ARIZONA,3800
2014,CALIFORNIA,39800
2014,COLORADO,60200
2014,DELAWARE,1200
2014,FLORIDA,30500
2014,IDAHO,321000
2014,ILLINOIS,7000
2014,KANSAS,4200
2014,MAINE,51000
2014,MARYLAND,2300
2014,MASSACHUSETTS,3800
2014,MICHIGAN,43000
2014,MINNESOTA,42000
2014,MISSOURI,8200
2014,MONTANA,11500
2014,NEBRASKA,17000
2014,NEVADA, (D)
2014,NEW JERSEY,2200
2014,NEW MEXICO, (D)
2014,NEW YORK,16000
2014,NORTH CAROLINA,14500
2014,NORTH DAKOTA,79000
2014,OHIO,1600
2014,OREGON,43000
2014,OTHER STATES,9400
2014,PENNSYLVANIA,5300
2014,RHODE ISLAND,500
2014,TEXAS,23300
2014,VIRGINIA,5000
2014,WASHINGTON,165000
2014,WISCONSIN,65000
2013,ALASKA,650
2013,ARIZONA,3500
2013,CALIFORNIA,39800
2013,COLORADO,54800
2013,DELAWARE,1400
2013,FLORIDA,30900
2013,IDAHO,317000
2013,ILLINOIS,7300
2013,KANSAS,4400
2013,MAINE,55000
2013,MARYLAND,2200
2013,MASSACHUSETTS,3900
2013,MICHIGAN,44500
2013,MINNESOTA,46000
2013,MISSOURI,9500
2013,MONTANA,11300
2013,NEBRASKA,18500
2013,NEVADA, (D)
2013,NEW JERSEY,2400
2013,NEW MEXICO, (D)
