Year,State,Value
1990,ALABAMA,470000
1991,ALABAMA,360000
1992,ALABAMA,290000
1993,ALABAMA,310000
1994,ALABAMA,310000
1995,ALABAMA,240000
1996,ALABAMA,320000
1997,ALABAMA,350000
1998,ALABAMA,340000
1999,ALABAMA,240000
2000,ALABAMA,190000
2001,ALABAMA,140000
2002,ALABAMA,170000
2003,ALABAMA,170000
2004,ALABAMA,210000
2005,ALABAMA,150000
2006,ALABAMA,160000
2007,ALABAMA,190000
2008,ALABAMA,360000
2009,ALABAMA,440000
2010,ALABAMA,350000
2011,ALABAMA,300000
2012,ALABAMA,340000
2013,ALABAMA,440000
2014,ALABAMA,480000
2015,ALABAMA,500000
2016,ALABAMA,420000
2017,ALABAMA,350000
2018,ALABAMA,345000
2019,ALABAMA,265000
2020,ALABAMA,280000
2021,ALABAMA,310000
1990,ARKANSAS,3400000
1991,ARKANSAS,3250000
1992,ARKANSAS,3200000
1993,ARKANSAS,3600000
1994,ARKANSAS,3450000
1995,ARKANSAS,3450000
1996,ARKANSAS,3550000
1997,ARKANSAS,3650000
1998,ARKANSAS,3550000
1999,ARKANSAS,3400000
2000,ARKANSAS,3350000
2001,ARKANSAS,2900000
2002,ARKANSAS,2950000
2003,ARKANSAS,2920000
2004,ARKANSAS,3200000
2005,ARKANSAS,3030000
2006,ARKANSAS,3110000
2007,ARKANSAS,2850000
2008,ARKANSAS,3300000
2009,ARKANSAS,3420000
2010,ARKANSAS,3190000
2011,ARKANSAS,3330000
2012,ARKANSAS,3200000
2013,ARKANSAS,3270000
2014,ARKANSAS,3230000
2015,ARKANSAS,3200000
2016,ARKANSAS,3130000
2017,ARKANSAS,3530000
2018,ARKANSAS,3270000
2019,ARKANSAS,2650000
2020,ARKANSAS,2820000
2021,ARKANSAS,3050000
1990,DELAWARE,200000
1991,DELAWARE,255000
1992,DELAWARE,220000
1993,DELAWARE,220000
1994,DELAWARE,225000
1995,DELAWARE,235000
1996,DELAWARE,220000
1997,DELAWARE,230000
1998,DELAWARE,220000
1999,DELAWARE,205000
2000,DELAWARE,215000
2001,DELAWARE,205000
2002,DELAWARE,190000
2003,DELAWARE,180000
2004,DELAWARE,210000
2005,DELAWARE,185000
2006,DELAWARE,180000
2007,DELAWARE,160000
2008,DELAWARE,195000
2009,DELAWARE,185000
2010,DELAWARE,175000
2011,DELAWARE,170000
2012,DELAWARE,170000
2013,DELAWARE,165000
2014,DELAWARE,185000
2015,DELAWARE,175000
2016,DELAWARE,165000
2017,DELAWARE,160000
2018,DELAWARE,170000
2019,DELAWARE,155000
2020,DELAWARE,150000
2021,DELAWARE,155000
1990,FLORIDA,80000
1991,FLORIDA,45000
1992,FLORIDA,55000
1993,FLORIDA,55000
1994,FLORIDA,45000
1995,FLORIDA,30000
1996,FLORIDA,35000
1997,FLORIDA,47000
1998,FLORIDA,35000
1999,FLORIDA,20000
2000,FLORIDA,20000
2001,FLORIDA,10000
2002,FLORIDA,10000
2003,FLORIDA,13000
2004,FLORIDA,19000
2005,FLORIDA,9000
2006,FLORIDA,7000
2007,FLORIDA,14000
2008,FLORIDA,32000
2009,FLORIDA,37000
2010,FLORIDA,25000
2011,FLORIDA,18000
2012,FLORIDA,21000
2013,FLORIDA,32000
2014,FLORIDA,39000
2015,FLORIDA,33000
2016,FLORIDA,31000
2017,FLORIDA,15000
2018,FLORIDA,18000
1990,GEORGIA,900000
1991,GEORGIA,600000
1992,GEORGIA,650000
1993,GEORGIA,600000
