Year,State,SugarBeetAcres
1990,CALIFORNIA,173000
1991,CALIFORNIA,165000
1992,CALIFORNIA,154000
1993,CALIFORNIA,138000
1994,CALIFORNIA,143000
1995,CALIFORNIA,116000
1996,CALIFORNIA,84000
1997,CALIFORNIA,101000
1998,CALIFORNIA,101000
1999,CALIFORNIA,110000
2000,CALIFORNIA,98000
2001,CALIFORNIA,46600
2002,CALIFORNIA,50200
2003,CALIFORNIA,50800
2004,CALIFORNIA,49100
2005,CALIFORNIA,44400
2006,CALIFORNIA,43300
2007,CALIFORNIA,40000
2008,CALIFORNIA,26000
2009,CALIFORNIA,25300
2010,CALIFORNIA,25600
2011,CALIFORNIA,25200
2012,CALIFORNIA,24500
2013,CALIFORNIA,24400
2014,CALIFORNIA,24300
2015,CALIFORNIA,24700
2016,CALIFORNIA,25300
2017,CALIFORNIA,25000
2018,CALIFORNIA,24600
2019,CALIFORNIA,24500
2020,CALIFORNIA,24000
2021,CALIFORNIA,24000
1990,COLORADO,40800
1991,COLORADO,40700
1992,COLORADO,40200
1993,COLORADO,40300
1994,COLORADO,44300
1995,COLORADO,42800
1996,COLORADO,54800
1997,COLORADO,67900
1998,COLORADO,62500
1999,COLORADO,72100
2000,COLORADO,71500
2001,COLORADO,41500
2002,COLORADO,43900
2003,COLORADO,28600
2004,COLORADO,36000
2005,COLORADO,36400
2006,COLORADO,42100
2007,COLORADO,32000
2008,COLORADO,33800
2009,COLORADO,35100
2010,COLORADO,28900
2011,COLORADO,29400
2012,COLORADO,31200
2013,COLORADO,26800
2014,COLORADO,29600
2015,COLORADO,27500
2016,COLORADO,28100
2017,COLORADO,29400
2018,COLORADO,26300
2019,COLORADO,25100
2020,COLORADO,24200
2021,COLORADO,24200
1990,IDAHO,188000
1991,IDAHO,196000
1992,IDAHO,202000
1993,IDAHO,206000
1994,IDAHO,202000
1995,IDAHO,198000
1996,IDAHO,187000
1997,IDAHO,198000
1998,IDAHO,204000
1999,IDAHO,211000
2000,IDAHO,212000
2001,IDAHO,199000
2002,IDAHO,212000
2003,IDAHO,208000
2004,IDAHO,195000
2005,IDAHO,169000
2006,IDAHO,188000
2007,IDAHO,169000
2008,IDAHO,131000
2009,IDAHO,164000
2010,IDAHO,171000
2011,IDAHO,176000
2012,IDAHO,183000
2013,IDAHO,175000
2014,IDAHO,170000
2015,IDAHO,174000
2016,IDAHO,172000
2017,IDAHO,167000
2018,IDAHO,163000
2019,IDAHO,171000
2020,IDAHO,172000
2021,IDAHO,173000
1990,MICHIGAN,160000
1991,MICHIGAN,171000
1992,MICHIGAN,179000
1993,MICHIGAN,189000
1994,MICHIGAN,195000
1995,MICHIGAN,190000
1996,MICHIGAN,153000
1997,MICHIGAN,163000
1998,MICHIGAN,177000
1999,MICHIGAN,194000
2000,MICHIGAN,189000
2001,MICHIGAN,180000
2002,MICHIGAN,179000
2003,MICHIGAN,179000
2004,MICHIGAN,165000
2005,MICHIGAN,154000
2006,MICHIGAN,155000
2007,MICHIGAN,150000
2008,MICHIGAN,137000
2009,MICHIGAN,138000
2010,MICHIGAN,147000
2011,MICHIGAN,153000
2012,MICHIGAN,154000
2013,MICHIGAN,154000
2014,MICHIGAN,151000
2015,MICHIGAN,152000
2016,MICHIGAN,151000
2017,MICHIGAN,144000
2018,MICHIGAN,150000
2019,MICHIGAN,146000
2020,MICHIGAN,157000
2021,MICHIGAN,154000
1990,MINNESOTA,368000
1991,MINNESOTA,369000
1992,MINNESOTA,372000
1993,MINNESOTA,390000
1994,MINNESOTA,415000
1995,MINNESOTA,427000
1996,MINNESOTA,441000
1997,MINNESOTA,453000
1998,MINNESOTA,473000
1999,MINNESOTA,480000
2000,MINNESOTA,490000
2001,MINNESOTA,468000
2002,MINNESOTA,505000
2003,MINNESOTA,492000
2004,MINNESOTA,486000
2005,MINNESOTA,491000
2006,MINNESOTA,504000
2007,MINNESOTA,486000
2008,MINNESOTA,440000
2009,MINNESOTA,464000
2010,MINNESOTA,449000
2011,MINNESOTA,479000
2012,MINNESOTA,475000
2013,MINNESOTA,462000
2014,MINNESOTA,440000
2015,MINNESOTA,443000
2016,MINNESOTA,437000
2017,MINNESOTA,420000
2018,MINNESOTA,415000
2019,MINNESOTA,425000
2020,MINNESOTA,432000
2021,MINNESOTA,428000
1990,MONTANA,55200
1991,MONTANA,56600
1992,MONTANA,55900
1993,MONTANA,54400
1994,MONTANA,54300
1995,MONTANA,55700
1996,MONTANA,57700
1997,MONTANA,59900
1998,MONTANA,64000
1999,MONTANA,61800
2000,MONTANA,60700
2001,MONTANA,57400
2002,MONTANA,58000
2003,MONTANA,51700
2004,MONTANA,53700
2005,MONTANA,53900
2006,MONTANA,53600
2007,MONTANA,47500
2008,MONTANA,31700
2009,MONTANA,38400
2010,MONTANA,42600
2011,MONTANA,45000
2012,MONTANA,46600
2013,MONTANA,43400
2014,MONTANA,45100
2015,MONTANA,44000
2016,MONTANA,45600
2017,MONTANA,42900
2018,MONTANA,43500
2019,MONTANA,41800
2020,MONTANA,43600
2021,MONTANA,44000
1990,NEBRASKA,75100
1991,NEBRASKA,81900
1992,NEBRASKA,85600
1993,NEBRASKA,82300
1994,NEBRASKA,82100
1995,NEBRASKA,75900
1996,NEBRASKA,55800
1997,NEBRASKA,67300
1998,NEBRASKA,53800
1999,NEBRASKA,72700
2000,NEBRASKA,78200
2001,NEBRASKA,48600
2002,NEBRASKA,57000
2003,NEBRASKA,45300
2004,NEBRASKA,49800
2005,NEBRASKA,48400
2006,NEBRASKA,61300
2007,NEBRASKA,47500
2008,NEBRASKA,45200
2009,NEBRASKA,53000
2010,NEBRASKA,50000
2011,NEBRASKA,52300
2012,NEBRASKA,51000
2013,NEBRASKA,46000
2014,NEBRASKA,49100
2015,NEBRASKA,47500
2016,NEBRASKA,48000
2017,NEBRASKA,46100
2018,NEBRASKA,45500
2019,NEBRASKA,44000
2020,NEBRASKA,46200
2021,NEBRASKA,44000
1990,NEW MEXICO,1000
1991,NEW MEXICO,800
1996,NEW MEXICO,1100
1997,NEW MEXICO,1600
1990,NORTH DAKOTA,193900
1991,NORTH DAKOTA,195000
1992,NORTH DAKOTA,195500
1993,NORTH DAKOTA,193800
1994,NORTH DAKOTA,205800
1995,NORTH DAKOTA,207000
1996,NORTH DAKOTA,226600
1997,NORTH DAKOTA,231400
1998,NORTH DAKOTA,250000
1999,NORTH DAKOTA,251600
2000,NORTH DAKOTA,258000
2001,NORTH DAKOTA,261000
2002,NORTH DAKOTA,265000
2003,NORTH DAKOTA,259000
2004,NORTH DAKOTA,256000
2005,NORTH DAKOTA,255000
2006,NORTH DAKOTA,261000
2007,NORTH DAKOTA,252000
2008,NORTH DAKOTA,208000
