Year,State,Value
1990,FLORIDA,434000
1991,FLORIDA,443000
1992,FLORIDA,443000
1993,FLORIDA,444000
1994,FLORIDA,444000
1995,FLORIDA,437000
1996,FLORIDA,438000
1997,FLORIDA,440000
1998,FLORIDA,447000
1999,FLORIDA,460000
2000,FLORIDA,454000
2001,FLORIDA,465000
2002,FLORIDA,461000
2003,FLORIDA,438000
2004,FLORIDA,406000
2005,FLORIDA,401000
2006,FLORIDA,400000
2007,FLORIDA,393000
2008,FLORIDA,401000
2009,FLORIDA,387000
2010,FLORIDA,392000
2011,FLORIDA,397000
2012,FLORIDA,413000
2013,FLORIDA,416000
2014,FLORIDA,408000
2015,FLORIDA,413000
2016,FLORIDA,417000
2017,FLORIDA,412700
2018,FLORIDA,412300
2019,FLORIDA,410700
2020,FLORIDA,423300
2021,FLORIDA,406000
1990,LOUISIANA,245000
1991,LOUISIANA,345000
1992,LOUISIANA,375000
1993,LOUISIANA,390000
1994,LOUISIANA,380000
1995,LOUISIANA,400000
1996,LOUISIANA,370000
1997,LOUISIANA,410000
1998,LOUISIANA,435000
1999,LOUISIANA,465000
2000,LOUISIANA,500000
2001,LOUISIANA,495000
2002,LOUISIANA,495000
2003,LOUISIANA,490000
2004,LOUISIANA,465000
2005,LOUISIANA,455000
2006,LOUISIANA,435000
2007,LOUISIANA,420000
2008,LOUISIANA,405000
2009,LOUISIANA,425000
2010,LOUISIANA,420000
2011,LOUISIANA,410000
2012,LOUISIANA,428000
2013,LOUISIANA,442000
2014,LOUISIANA,411000
2015,LOUISIANA,410000
2016,LOUISIANA,431000
2017,LOUISIANA,449600
2018,LOUISIANA,448500
2019,LOUISIANA,469000
2020,LOUISIANA,488400
2021,LOUISIANA,490000
1990,TEXAS,36200
1991,TEXAS,34900
1992,TEXAS,39300
1993,TEXAS,44400
1994,TEXAS,43500
1995,TEXAS,42300
1996,TEXAS,34900
1997,TEXAS,29800
1998,TEXAS,32600
1999,TEXAS,31000
2000,TEXAS,46300
2001,TEXAS,47000
2002,TEXAS,44500
2003,TEXAS,43000
2004,TEXAS,44000
2005,TEXAS,42400
2006,TEXAS,40700
2007,TEXAS,43700
2008,TEXAS,39200
2009,TEXAS,39700
2010,TEXAS,48100
2011,TEXAS,49000
2012,TEXAS,44000
2013,TEXAS,35100
2014,TEXAS,33100
2015,TEXAS,36600
2016,TEXAS,39600
2017,TEXAS,41800
2018,TEXAS,38900
2019,TEXAS,33500
2020,TEXAS,35900
2021,TEXAS,36000
