Year,State,Value
2009,CALIFORNIA,42000
2010,CALIFORNIA,34000
2011,CALIFORNIA,44000
2012,CALIFORNIA,50800
2013,CALIFORNIA,58500
2014,CALIFORNIA,47500
2015,CALIFORNIA,34400
2016,CALIFORNIA,46600
2017,CALIFORNIA,55300
2018,CALIFORNIA,60000
2019,CALIFORNIA,50600
2020,CALIFORNIA,44600
2021,CALIFORNIA,46000
1991,COLORADO,63000
1992,COLORADO,70000
1993,COLORADO,85000
1994,COLORADO,100000
1995,COLORADO,115000
1996,COLORADO,110000
1997,COLORADO,85000
1998,COLORADO,160000
1999,COLORADO,270000
2000,COLORADO,220000
2001,COLORADO,195000
2002,COLORADO,130000
2003,COLORADO,130000
2004,COLORADO,135000
2005,COLORADO,215000
2006,COLORADO,100000
2007,COLORADO,119000
2008,COLORADO,194000
2009,COLORADO,91000
2010,COLORADO,132000
2011,COLORADO,128000
2012,COLORADO,86000
2013,COLORADO,67000
2014,COLORADO,46500
2015,COLORADO,73000
2016,COLORADO,74000
2017,COLORADO,92000
2018,COLORADO,66000
2019,COLORADO,59000
2020,COLORADO,60000
2021,COLORADO,54000
1990,KANSAS,75000
1991,KANSAS,105000
1992,KANSAS,130000
1993,KANSAS,160000
1994,KANSAS,260000
1995,KANSAS,300000
1996,KANSAS,265000
1997,KANSAS,200000
1998,KANSAS,180000
1999,KANSAS,280000
2000,KANSAS,250000
2001,KANSAS,335000
2002,KANSAS,215000
2003,KANSAS,193000
2004,KANSAS,171000
2005,KANSAS,300000
2006,KANSAS,150000
2007,KANSAS,172000
2008,KANSAS,241000
2009,KANSAS,168000
2010,KANSAS,139000
2011,KANSAS,134000
2012,KANSAS,87000
2013,KANSAS,71000
2014,KANSAS,63000
2015,KANSAS,84000
2016,KANSAS,63000
2017,KANSAS,65500
2018,KANSAS,53000
2019,KANSAS,45000
2020,KANSAS,73000
2021,KANSAS,29500
1990,MINNESOTA,140000
1991,MINNESOTA,290000
1992,MINNESOTA,215000
1993,MINNESOTA,390000
1994,MINNESOTA,500000
1995,MINNESOTA,440000
1996,MINNESOTA,150000
1997,MINNESOTA,105000
1998,MINNESOTA,130000
1999,MINNESOTA,130000
2000,MINNESOTA,95000
2001,MINNESOTA,60000
2002,MINNESOTA,70000
2003,MINNESOTA,90000
2004,MINNESOTA,60000
2005,MINNESOTA,135000
2006,MINNESOTA,89000
2007,MINNESOTA,131000
2008,MINNESOTA,115000
2009,MINNESOTA,71000
2010,MINNESOTA,88000
2011,MINNESOTA,40000
2012,MINNESOTA,49000
2013,MINNESOTA,43000
2014,MINNESOTA,62000
2015,MINNESOTA,101000
2016,MINNESOTA,80000
2017,MINNESOTA,38700
2018,MINNESOTA,52500
2019,MINNESOTA,58000
2020,MINNESOTA,73500
2021,MINNESOTA,57000
1999,MONTANA,7800
2000,MONTANA,5500
2001,MONTANA,2500
2003,MONTANA,2600
2004,MONTANA,5000
2005,MONTANA,6800
2006,MONTANA,3600
2007,MONTANA,3600
2008,MONTANA,1500
1991,NEBRASKA,50000
1992,NEBRASKA,40000
1993,NEBRASKA,62000
1994,NEBRASKA,75000
1995,NEBRASKA,90000
1996,NEBRASKA,47000
1997,NEBRASKA,55000
1998,NEBRASKA,70000
1999,NEBRASKA,101000
2000,NEBRASKA,90000
2001,NEBRASKA,82000
2002,NEBRASKA,60000
2003,NEBRASKA,66000
2004,NEBRASKA,56000
2005,NEBRASKA,99000
2006,NEBRASKA,53000
2007,NEBRASKA,49000
2008,NEBRASKA,64000
2009,NEBRASKA,52000
2010,NEBRASKA,62000
2011,NEBRASKA,59000
2012,NEBRASKA,42500
2013,NEBRASKA,43000
2014,NEBRASKA,38000
2015,NEBRASKA,49000
2016,NEBRASKA,41500
2017,NEBRASKA,45500
2018,NEBRASKA,37000
2019,NEBRASKA,37000
2020,NEBRASKA,50000
2021,NEBRASKA,41500
1990,NORTH DAKOTA,1370000
1991,NORTH DAKOTA,1710000
1992,NORTH DAKOTA,1225000
1993,NORTH DAKOTA,1320000
1994,NORTH DAKOTA,1590000
1995,NORTH DAKOTA,1450000
1996,NORTH DAKOTA,1180000
1997,NORTH DAKOTA,1470000
1998,NORTH DAKOTA,1990000
1999,NORTH DAKOTA,1700000
2000,NORTH DAKOTA,1330000
2001,NORTH DAKOTA,1070000
2002,NORTH DAKOTA,1370000
2003,NORTH DAKOTA,1210000
2004,NORTH DAKOTA,880000
2005,NORTH DAKOTA,1140000
2006,NORTH DAKOTA,900000
2007,NORTH DAKOTA,1075000
2008,NORTH DAKOTA,1115000
2009,NORTH DAKOTA,885000
2010,NORTH DAKOTA,885000
2011,NORTH DAKOTA,580000
2012,NORTH DAKOTA,860000
2013,NORTH DAKOTA,499000
2014,NORTH DAKOTA,665000
2015,NORTH DAKOTA,720000
2016,NORTH DAKOTA,688000
2017,NORTH DAKOTA,438000
2018,NORTH DAKOTA,436000
2019,NORTH DAKOTA,535000
2020,NORTH DAKOTA,733000
2021,NORTH DAKOTA,489000
2009,OKLAHOMA,16000
2010,OKLAHOMA,12500
2011,OKLAHOMA,5000
2012,OKLAHOMA,4700
2013,OKLAHOMA,5000
2014,OKLAHOMA,4300
2015,OKLAHOMA,5700
1991,OTHER STATES,53000
1992,OTHER STATES,62000
1993,OTHER STATES,57000
1994,OTHER STATES,68000
1995,OTHER STATES,79000
1996,OTHER STATES,53000
1997,OTHER STATES,60000
1998,OTHER STATES,51000
1999,OTHER STATES,77000
2000,OTHER STATES,75000
2001,OTHER STATES,68000
2002,OTHER STATES,61000
2003,OTHER STATES,91000
2004,OTHER STATES,95000
2005,OTHER STATES,125000
2006,OTHER STATES,76000
2007,OTHER STATES,67000
2008,OTHER STATES,86500
2014,OTHER STATES,0
2015,OTHER STATES,0
2016,OTHER STATES,0
2017,OTHER STATES,0
2018,OTHER STATES,0
2019,OTHER STATES,0
1990,SOUTH DAKOTA,300000
1991,SOUTH DAKOTA,450000
1992,SOUTH DAKOTA,400000
1993,SOUTH DAKOTA,650000
1994,SOUTH DAKOTA,940000
1995,SOUTH DAKOTA,960000
1996,SOUTH DAKOTA,700000
1997,SOUTH DAKOTA,825000
1998,SOUTH DAKOTA,940000
1999,SOUTH DAKOTA,920000
2000,SOUTH DAKOTA,720000
2001,SOUTH DAKOTA,715000
2002,SOUTH DAKOTA,640000
2003,SOUTH DAKOTA,505000
2004,SOUTH DAKOTA,435000
2005,SOUTH DAKOTA,550000
2006,SOUTH DAKOTA,530000
2007,SOUTH DAKOTA,415000
2008,SOUTH DAKOTA,600000
2009,SOUTH DAKOTA,570000
2010,SOUTH DAKOTA,510000
2011,SOUTH DAKOTA,485000
2012,SOUTH DAKOTA,645000
2013,SOUTH DAKOTA,675000
2014,SOUTH DAKOTA,535000
2015,SOUTH DAKOTA,679000
2016,SOUTH DAKOTA,558000
2017,SOUTH DAKOTA,622000
2018,SOUTH DAKOTA,571000
2019,SOUTH DAKOTA,533000
2020,SOUTH DAKOTA,622000
2021,SOUTH DAKOTA,524000
1990,TEXAS,20000
1991,TEXAS,25000
1992,TEXAS,45000
1993,TEXAS,33000
1994,TEXAS,34000
1995,TEXAS,44000
1996,TEXAS,31000
1997,TEXAS,88000
1998,TEXAS,47000
1999,TEXAS,75000
2000,TEXAS,60000
2001,TEXAS,108000
2002,TEXAS,35000
2003,TEXAS,59000
2004,TEXAS,41000
2005,TEXAS,145000
2006,TEXAS,52000
2007,TEXAS,42000
2008,TEXAS,101000
2009,TEXAS,135000
2010,TEXAS,89000
2011,TEXAS,68000
