Year,State,Value
2021,OTHER STATES,0
2020,CALIFORNIA,22000
2020,MISSISSIPPI,30000
2020,NORTH CAROLINA,106000
2020,OTHER STATES,0
2019,CALIFORNIA,21500
2019,MISSISSIPPI,28000
2019,NORTH CAROLINA,98000
2018,ARKANSAS,5200
2018,CALIFORNIA,21000
2018,FLORIDA,6500
2018,LOUISIANA,8500
2018,MISSISSIPPI,27000
2018,NORTH CAROLINA,82000
2018,OTHER STATES,0
2017,ARKANSAS, (D)
2017,CALIFORNIA,21000
2017,FLORIDA, (D)
2017,LOUISIANA,10000
2017,MISSISSIPPI,30000
2017,NORTH CAROLINA,90000
2017,OTHER STATES,10600
2016,ARKANSAS, (D)
2016,CALIFORNIA,20000
2016,FLORIDA, (D)
2016,LOUISIANA,10000
2016,MISSISSIPPI,30000
2016,NORTH CAROLINA,98000
2016,OTHER STATES,10100
2015,ALABAMA,2600
2015,ARKANSAS,4000
2015,CALIFORNIA,18500
2015,FLORIDA,5600
2015,LOUISIANA,10000
2015,MISSISSIPPI,27000
2015,NEW JERSEY,1200
2015,NORTH CAROLINA,87000
2015,OTHER STATES,0
2015,TEXAS,1000
2014,ALABAMA,2100
2014,ARKANSAS,3600
2014,CALIFORNIA,19000
2014,FLORIDA,6000
2014,LOUISIANA,9000
2014,MISSISSIPPI,22000
2014,NEW JERSEY,1200
2014,NORTH CAROLINA,73000
2014,TEXAS,1000
2013,ALABAMA,2500
2013,ARKANSAS,3800
2013,CALIFORNIA,19000
2013,FLORIDA,6000
2013,LOUISIANA,8000
2013,MISSISSIPPI,20000
2013,NEW JERSEY,1200
2013,NORTH CAROLINA,54000
2013,TEXAS,1000
2012,ALABAMA,2700
2012,ARKANSAS,4000
2012,CALIFORNIA,18000
2012,FLORIDA,6400
2012,LOUISIANA,10000
2012,MISSISSIPPI,24000
2012,NEW JERSEY,1300
2012,NORTH CAROLINA,63000
2012,TEXAS,1100
2011,ALABAMA,2600
2011,ARKANSAS,3600
2011,CALIFORNIA,18500
2011,FLORIDA,3300
2011,LOUISIANA,14000
2011,MISSISSIPPI,24000
2011,NEW JERSEY,1300
2011,NORTH CAROLINA,65000
2011,TEXAS,1300
2010,ALABAMA,3300
2010,ARKANSAS,3100
2010,CALIFORNIA,18000
2010,FLORIDA,3500
2010,LOUISIANA,13500
2010,MISSISSIPPI,21000
2010,NEW JERSEY,1300
2010,NORTH CAROLINA,55000
2010,TEXAS,1100
2009,ALABAMA,2600
2009,ARKANSAS,3000
2009,CALIFORNIA,17400
2009,FLORIDA,3300
2009,LOUISIANA,14000
2009,MISSISSIPPI,20000
2009,NEW JERSEY,1200
2009,NORTH CAROLINA,47000
2009,SOUTH CAROLINA, (NA)
2009,TEXAS,1400
2009,VIRGINIA, (NA)
2008,ALABAMA,2600
2008,CALIFORNIA,14800
2008,LOUISIANA,15000
2008,MISSISSIPPI,20000
2008,NEW JERSEY,1200
2008,NORTH CAROLINA,47000
2008,SOUTH CAROLINA,600
2008,TEXAS,1700
2008,VIRGINIA,300
2007,ALABAMA,2400
2007,CALIFORNIA,13500
2007,LOUISIANA,16000
2007,MISSISSIPPI,20500
2007,NEW JERSEY,1200
2007,NORTH CAROLINA,44000
2007,SOUTH CAROLINA,600
2007,TEXAS,1900
2007,VIRGINIA,400
2006,ALABAMA,2400
2006,CALIFORNIA,12700
2006,LOUISIANA,18000
2006,MISSISSIPPI,18000
2006,NEW JERSEY,1200
2006,NORTH CAROLINA,40000
2006,SOUTH CAROLINA,700
2006,TEXAS,2200
2006,VIRGINIA,500
2005,ALABAMA,2700
2005,CALIFORNIA,11700
2005,LOUISIANA,18000
2005,MISSISSIPPI,17400
2005,NEW JERSEY,1200
2005,NORTH CAROLINA,36000
2005,SOUTH CAROLINA,900
2005,TEXAS,2700
2005,VIRGINIA,400
2004,ALABAMA,2800
2004,CALIFORNIA,11500
2004,LOUISIANA,16000
2004,MISSISSIPPI,16000
2004,NEW JERSEY,1200
2004,NORTH CAROLINA,45000
2004,SOUTH CAROLINA,1000
2004,TEXAS,3000
2004,VIRGINIA,400
2003,ALABAMA,2700
2003,CALIFORNIA,10700
2003,LOUISIANA,19000
2003,MISSISSIPPI,14000
2003,NEW JERSEY,1100
