Year,State,Value
2021,GEORGIA,"8,000"
2021,KENTUCKY,"50,800"
2021,NORTH CAROLINA,"120,290"
2021,OTHER STATES,0
2021,PENNSYLVANIA,"5,500"
2021,SOUTH CAROLINA,"7,600"
2021,TENNESSEE,"13,400"
2021,VIRGINIA,"15,610"
2020,GEORGIA,"7,900"
2020,KENTUCKY,"51,400"
2020,NORTH CAROLINA,"102,310"
2020,OTHER STATES,0
2020,PENNSYLVANIA,"5,500"
2020,SOUTH CAROLINA,"6,000"
2020,TENNESSEE,"12,300"
2020,VIRGINIA,"12,650"
2019,GEORGIA,"9,000"
2019,KENTUCKY,"57,400"
2019,NORTH CAROLINA,"117,400"
2019,OTHER STATES,0
2019,PENNSYLVANIA,"5,700"
2019,SOUTH CAROLINA,"8,300"
2019,TENNESSEE,"13,300"
2019,VIRGINIA,"16,020"
2018,GEORGIA,"12,500"
2018,KENTUCKY,"68,100"
2018,NORTH CAROLINA,"152,750"
2018,OTHER STATES,0
2018,PENNSYLVANIA,"7,800"
2018,SOUTH CAROLINA,"12,300"
2018,TENNESSEE,"15,700"
2018,VIRGINIA,"22,280"
2017,GEORGIA,"12,500"
2017,KENTUCKY,"80,500"
2017,NORTH CAROLINA,"163,900"
2017,OTHER STATES,0
2017,PENNSYLVANIA,"8,100"
2017,SOUTH CAROLINA,"12,000"
2017,TENNESSEE,"21,100"
2017,VIRGINIA,"23,370"
2016,GEORGIA,"13,500"
2016,KENTUCKY,"75,300"
2016,NORTH CAROLINA,"166,000"
2016,OTHER STATES,0
2016,PENNSYLVANIA,"8,200"
2016,SOUTH CAROLINA,"13,000"
2016,TENNESSEE,"20,200"
2016,VIRGINIA,"23,460"
2015,CONNECTICUT, (D)
2015,GEORGIA,"13,500"
2015,KENTUCKY,"72,900"
2015,MASSACHUSETTS, (D)
2015,NORTH CAROLINA,"173,000"
2015,OHIO,"1,900"
2015,OTHER STATES,"2,700"
2015,PENNSYLVANIA,"7,900"
2015,SOUTH CAROLINA,"13,000"
2015,TENNESSEE,"20,900"
2015,VIRGINIA,"23,050"
2014,CONNECTICUT, (D)
2014,GEORGIA,"15,000"
2014,KENTUCKY,"91,700"
2014,MASSACHUSETTS, (D)
2014,NORTH CAROLINA,"193,400"
2014,OHIO,"2,000"
2014,OTHER STATES,"2,900"
2014,PENNSYLVANIA,"9,100"
2014,SOUTH CAROLINA,"15,800"
2014,TENNESSEE,"24,250"
2014,VIRGINIA,"24,330"
2013,CONNECTICUT, (D)
2013,GEORGIA,"12,800"
2013,KENTUCKY,"87,200"
2013,MASSACHUSETTS, (D)
2013,NORTH CAROLINA,"181,900"
2013,OHIO,"2,100"
2013,OTHER STATES,"3,200"
2013,PENNSYLVANIA,"8,900"
2013,SOUTH CAROLINA,"14,500"
2013,TENNESSEE,"21,400"
